,method,problem,tol,dt,quad_nodes,nvars,new_max,sdc_sum,new_sum,norm
123,sdc_newton,fisher,1e-12,0.0005,4,255,5,1800,3699,1.5412943607517882e-06
124,sdc_newton,fisher,1e-12,0.0005,4,255,10,1800,3699,1.5412943607517882e-06
125,sdc_newton,fisher,1e-12,0.0005,4,255,30,1800,3699,1.5412943607517882e-06
126,sdc_newton,fisher,1e-12,0.0005,5,63,1,999,799,2.455490247718628e-05
127,sdc_newton,fisher,1e-12,0.0005,5,63,2,999,1598,2.455490247718628e-05
128,sdc_newton,fisher,1e-12,0.0005,5,63,3,999,1798,2.455490247718628e-05
129,sdc_newton,fisher,1e-12,0.0005,5,63,5,999,1798,2.455490247718628e-05
130,sdc_newton,fisher,1e-12,0.0005,5,63,10,999,1798,2.455490247718628e-05
131,sdc_newton,fisher,1e-12,0.0005,5,63,30,999,1798,2.455490247718628e-05
132,sdc_newton,fisher,1e-12,0.0005,5,127,1,1200,1000,6.161686410488532e-06
133,sdc_newton,fisher,1e-12,0.0005,5,127,2,1200,2000,6.161686410460776e-06
134,sdc_newton,fisher,1e-12,0.0005,5,127,3,1200,2200,6.161686410460776e-06
135,sdc_newton,fisher,1e-12,0.0005,5,127,5,1200,2200,6.161686410460776e-06
136,sdc_newton,fisher,1e-12,0.0005,5,127,10,1200,2200,6.161686410460776e-06
137,sdc_newton,fisher,1e-12,0.0005,5,127,30,1200,2200,6.161686410460776e-06
138,sdc_newton,fisher,1e-12,0.0005,5,255,1,1799,1599,1.5412943608628105e-06
139,sdc_newton,fisher,1e-12,0.0005,5,255,2,1799,3198,1.5412943607517882e-06
140,sdc_newton,fisher,1e-12,0.0005,5,255,3,1799,3658,1.5412943607517882e-06
141,sdc_newton,fisher,1e-12,0.0005,5,255,5,1799,3658,1.5412943607517882e-06
142,sdc_newton,fisher,1e-12,0.0005,5,255,10,1799,3658,1.5412943607517882e-06
143,sdc_newton,fisher,1e-12,0.0005,5,255,30,1799,3658,1.5412943607517882e-06
